,ĞŞÊÎÎ»µãÊı
Unigene006330_02.p1,3
Unigene001298_01.p1,3
Unigene043666_01.p1,3
Unigene022923_01.p1,3
Unigene004903_01.p1,3
Unigene050320_01.p1,3
Unigene038094_01.p1,3
Unigene013922_01.p1,3
Unigene021417_01.p1,3
Unigene040237_01.p1,3
Unigene001543_02.p1,3
Unigene000509_01.p1,3
Unigene013580_01.p1,3
Unigene049789_01.p1,3
Unigene007845_01.p1,3
Unigene004377_01.p1,3
Unigene009886_01.p1,3
Unigene046364_01.p1,3
Unigene015602_01.p1,3
Unigene014952_01.p1,3
Unigene013292_01.p1,3
Unigene035040_01.p1,3
Unigene040715_01.p1,3
Unigene044773_02.p1,3
Unigene019414_01.p1,3
Unigene029786_01.p1,3
Unigene030662_01.p1,3
Unigene026044_02.p1,3
Unigene002276_01.p1,3
Unigene000106_01.p1,3
Unigene017385_01.p1,3
Unigene017111_01.p1,3
Unigene048199_01.p1,3
Unigene037911_01.p1,3
Unigene029691_01.p1,3
Unigene011025_01.p1,3
Unigene050409_01.p1,3
Unigene002361_02.p1,3
Unigene038889_01.p1,3
Unigene026567_02.p1,3
Unigene039785_01.p1,3
Unigene004134_04.p1,3
Unigene023610_01.p1,3
Unigene001906_01.p2,3
Unigene048760_01.p1,3
Unigene013562_01.p1,3
Unigene042949_01.p1,3
Unigene034894_02.p1,3
Unigene003826_02.p1,3
Unigene021789_01.p1,3
Unigene016443_02.p1,3
Unigene002118_01.p1,3
Unigene006443_03.p1,3
Unigene006226_01.p1,3
Unigene005947_01.p1,3
Unigene014662_02.p1,3
Unigene025119_01.p1,3
Unigene050324_01.p1,3
Unigene028505_01.p1,3
Unigene019676_01.p1,3
Unigene043056_01.p1,3
Unigene007108_02.p1,3
Unigene000028_01.p1,3
Unigene037498_01.p1,3
Unigene040047_01.p1,3
Unigene039869_01.p1,3
Unigene040368_01.p1,3
Unigene009894_01.p1,3
Unigene022383_01.p1,3
Unigene041895_01.p1,3
Unigene046807_01.p1,3
Unigene026940_01.p1,3
Unigene016571_01.p1,3
Unigene042840_01.p1,3
Unigene000080_02.p1,3
Unigene005841_02.p1,3
Unigene032204_02.p1,3
Unigene031977_01.p1,3
Unigene030927_01.p1,3
Unigene013539_01.p1,3
Unigene038674_01.p1,3
Unigene009450_01.p1,3
Unigene002515_01.p1,3
Unigene002868_02.p1,3
Unigene023791_01.p1,3
Unigene033920_01.p1,3
Unigene005538_02.p1,3
Unigene046175_01.p1,3
Unigene019540_01.p1,3
Unigene002518_02.p1,3
Unigene043682_01.p1,3
Unigene049113_01.p1,3
Unigene036041_01.p1,3
Unigene017529_01.p1,3
Unigene033468_01.p1,3
Unigene045125_01.p1,3
Unigene025224_01.p1,3
Unigene029191_01.p1,3
Unigene003468_01.p1,3
Unigene017584_01.p1,3
Unigene017873_01.p1,3
Unigene006991_01.p1,3
Unigene026730_01.p1,3
Unigene004079_02.p1,3
Unigene018654_01.p1,3
Unigene009168_01.p1,3
Unigene007276_03.p1,3
Unigene020105_01.p1,3
Unigene039347_01.p1,3
Unigene002041_01.p1,3
Unigene006176_02.p1,3
Unigene017009_01.p1,3
Unigene041573_01.p1,3
Unigene005775_01.p1,3
Unigene049197_01.p1,3
Unigene014619_01.p1,3
Unigene002136_01.p1,3
Unigene004153_01.p2,3
Unigene045533_01.p1,3
Unigene016256_01.p1,3
Unigene010945_01.p1,3
Unigene045716_01.p1,3
Unigene048261_01.p1,3
Unigene012604_01.p1,3
Unigene010002_01.p1,3
Unigene042530_01.p1,3
Unigene045051_02.p1,3
Unigene038217_01.p1,3
Unigene039490_01.p1,3
Unigene037422_01.p1,3
Unigene013965_02.p1,3
Unigene029399_01.p1,3
Unigene009844_01.p1,3
Unigene014462_02.p1,3
Unigene005170_01.p1,3
Unigene048813_01.p1,3
Unigene021063_01.p1,3
Unigene007713_01.p1,3
Unigene015756_01.p1,3
Unigene005211_01.p1,3
Unigene014042_01.p1,3
Unigene037196_01.p1,3
Unigene048363_01.p1,3
Unigene014355_02.p1,3
Unigene005967_03.p1,3
Unigene006861_02.p1,3
Unigene028198_01.p1,3
Unigene048018_01.p1,3
Unigene033452_01.p1,3
Unigene049136_01.p1,3
Unigene048148_01.p1,3
Unigene031671_01.p1,3
Unigene025587_01.p1,3
Unigene028721_02.p1,3
Unigene003433_01.p1,3
Unigene015548_01.p1,3
Unigene033729_01.p1,3
Unigene002088_01.p2,3
Unigene003544_01.p1,3
Unigene021068_01.p1,3
Unigene002282_02.p1,3
Unigene000791_01.p1,3
Unigene014861_01.p1,3
Unigene047283_01.p1,3
Unigene016479_01.p1,3
Unigene013006_01.p1,3
Unigene037852_01.p1,3
Unigene044009_01.p1,3
Unigene020813_01.p1,3
Unigene003828_01.p1,3
